traj_id,object_x,object_y,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6
0.0,84.54545454545453,-10.402169462378096,20.7197481680058,24.08360153262192,25.572784379950974,26.05231323019389,25.25285786103189,23.271564410121044
0.0,86.36363636363635,-11.61130216851813,20.93965026783752,24.184708146889548,25.647880889496378,26.12579701970202,25.30245447144842,23.315951193257458
0.0,88.18181818181819,-12.80197284003448,21.14914496606177,24.28162232827836,25.72185648949312,26.195126351914496,25.350981473636807,23.364455412216444
0.0,90.0,-13.969138597508186,21.348019497032315,24.374928727533515,25.794643363475643,26.265561804399027,25.40460238851776,23.416756599353715
1.0,-90.0,10.514520880919596,-26.267578256272827,-25.44290196206336,-23.518935732181742,-21.23136319624415,-24.248405208040452,-25.735641883621895
1.0,-88.18181818181819,8.690732745637447,-26.18789916076406,-25.397408067215792,-23.49550686476873,-21.013749439675337,-24.125389854407572,-25.650281344272656
1.0,-86.36363636363636,6.867862638758433,-26.11679906052177,-25.35833423381702,-23.478371277064372,-20.790670056481837,-23.997752733447623,-25.56373118125088
1.0,-84.54545454545455,5.061441335756179,-26.043904638880463,-25.322999915527433,-23.466739679376907,-20.563074560926232,-23.865847460905695,-25.47627295916581
1.0,-82.72727272727273,3.2868594689975907,-25.97197826862299,-25.287818413234262,-23.46076807174064,-20.332770533769377,-23.730952101838238,-25.392128113825294
1.0,-80.9090909090909,1.5592364002123356,-25.90300819457235,-25.254563964060296,-23.459617979262728,-20.101230142287502,-23.59295360769242,-25.30434970555764
1.0,-79.0909090909091,-0.10670859582345216,-25.831719929562382,-25.222727239082356,-23.462993032229065,-19.870912225419463,-23.453479122766804,-25.21732806423043
1.0,-77.27272727272728,-1.6967817388798423,-25.756898134528313,-25.192507988478173,-23.469812244532196,-19.642702032456118,-23.312303266180738,-25.133372131987564
1.0,-75.45454545454545,-3.1974356736745353,-25.68172220063326,-25.1637823629797,-23.479787532677076,-19.41923704022722,-23.17063001247045,-25.048956971696192
1.0,-73.63636363636364,-4.5958848927613705,-25.60891505594069,-25.134571482480485,-23.491152242162045,-19.20164317408082,-23.028841376360074,-24.96453469605543
1.0,-71.81818181818181,-5.880214668507891,-25.539102515605578,-25.104900280583056,-23.503070059738047,-18.995582438970743,-22.887309586898063,-24.8806304607942
1.0,-70.0,-7.039482566065921,-25.46788225389473,-25.07421320347305,-23.514988359743626,-18.798639997393508,-22.748221673797588,-24.79742346139178
1.0,-68.18181818181819,-8.063811672449319,-25.396245360820785,-25.04121847186496,-23.525707960054937,-18.609562482131455,-22.611031230765686,-24.71460189815279
1.0,-66.36363636363636,-8.944474747410815,-25.32842929465805,-25.005864844009416,-23.534754673883782,-18.43843033720447,-22.477995883434026,-24.632994797797203
