epoch,train_loss,train_nll,train_mae,val_loss,val_nll,val_mae,lr,sec
240,1.263150,1.262683,6.482123,1.398780,1.398442,4.871736,5.31e-05,9.2
241,1.289218,1.287683,6.420517,1.152842,1.150004,5.275549,5.28e-05,9.2
242,1.260065,1.258902,6.349197,1.581939,1.581593,4.856684,5.25e-05,9.2
243,1.290904,1.289812,6.300249,1.471553,1.471384,7.872007,5.22e-05,9.2
244,1.241413,1.240753,6.275333,1.042126,1.042027,4.302663,5.19e-05,9.4
245,1.248825,1.248178,6.156911,1.036990,1.036800,4.483098,5.16e-05,9.2
246,1.293180,1.292376,6.582948,1.068809,1.058959,5.105419,5.13e-05,9.2
247,1.232122,1.231279,6.405324,0.941726,0.941136,3.154689,5.09e-05,9.2
248,1.352583,1.351835,6.801231,1.075276,1.072485,4.142415,5.06e-05,10.0
249,1.231138,1.230231,6.258646,1.001567,1.001546,3.897753,5.03e-05,9.6
250,1.211619,1.211287,6.412090,1.136234,1.135601,4.723993,5.00e-05,9.4
251,1.206024,1.205390,6.279572,1.017143,1.017096,4.340480,4.97e-05,9.3
252,1.182132,1.181576,6.100363,1.121577,1.121488,5.262340,4.94e-05,9.2
253,1.205628,1.205292,6.238647,1.366531,1.366430,5.992375,4.91e-05,9.3
254,1.193769,1.193571,6.043139,0.994283,0.994076,4.353342,4.87e-05,9.3
255,1.170805,1.170165,6.000556,0.928638,0.928091,3.675334,4.84e-05,9.6
256,1.181642,1.181230,6.008829,1.181702,1.181543,4.806844,4.81e-05,9.4
257,1.208040,1.207605,6.276764,1.081290,1.072395,4.827949,4.78e-05,9.4
258,1.201219,1.199422,5.992067,1.018980,1.018934,4.161167,4.75e-05,9.5
259,1.184360,1.184129,6.152932,1.343110,1.342869,7.249431,4.72e-05,9.4
260,1.238528,1.238178,6.184302,1.031381,1.031291,3.951529,4.69e-05,9.6
261,1.177166,1.176868,5.837318,1.071997,1.071954,4.396767,4.65e-05,9.3
262,1.206773,1.206236,6.138166,0.935184,0.935131,3.799985,4.62e-05,9.3
263,1.182820,1.182404,6.026706,0.908386,0.908317,3.313274,4.59e-05,9.3
264,1.198766,1.198475,6.098860,1.094721,1.094694,4.344173,4.56e-05,9.4
265,1.195780,1.195483,6.178481,1.065915,1.065855,3.604047,4.53e-05,9.9
266,1.135304,1.134587,5.835991,0.961014,0.960881,3.603744,4.50e-05,9.3
267,1.245964,1.245568,6.282577,1.041109,1.040978,4.926532,4.47e-05,9.3
268,1.169936,1.169512,6.067036,1.035604,1.035567,3.930360,4.44e-05,9.4
269,1.181958,1.181690,6.109160,1.081478,1.081412,5.090588,4.40e-05,9.5
270,1.138145,1.137830,5.927722,0.899564,0.899310,3.658533,4.37e-05,9.3
271,1.128455,1.128264,5.731656,1.197405,1.197353,5.429229,4.34e-05,9.4
272,1.167707,1.167261,6.003074,1.077608,1.077530,4.790743,4.31e-05,9.6
